Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-89.099998,1.000000,0.000000,0.999800,0.000000,0.000000
2.000000,0.000000,-89.899994,1.000000,0.000000,0.999680,0.000000,0.000000
3.000000,0.000000,-87.883324,1.000000,0.000000,0.998120,-0.008733,216.510345
4.000000,0.000000,-88.749985,1.000000,0.250000,0.996810,-0.008733,194.115219
5.000000,0.000000,-88.979988,1.000000,0.200000,0.996570,-0.008733,196.520660
6.000000,0.000000,-90.716652,0.833333,0.166667,0.995530,0.337643,187.929825
7.000000,0.000000,-90.399986,0.857143,0.142857,0.995130,0.337643,184.406235
8.000000,0.000000,-90.187492,0.875000,0.125000,0.995010,0.337643,195.085052
9.000000,0.000000,-91.355553,0.777778,0.111111,0.994590,0.337643,219.889221
10.000000,0.000000,-91.494995,0.800000,0.100000,0.993540,0.337643,220.292160
11.000000,0.000000,-91.745453,0.818182,0.090909,0.992590,0.337643,224.292694
12.000000,0.000000,-91.599998,0.833333,0.083333,0.992440,0.337643,209.062622
13.000000,0.000000,-91.388458,0.846154,0.076923,0.992280,0.337643,216.082184
14.000000,0.000000,-91.353569,0.857143,0.071429,0.992140,0.545435,238.709015
15.000000,0.000000,-91.209991,0.866667,0.066667,0.991970,0.545435,222.458267
16.000000,0.000000,-91.590622,0.812500,0.062500,0.991740,0.545435,233.499466
17.000000,0.000000,-91.526466,0.823529,0.058824,0.991540,0.545435,256.118195
18.000000,0.000000,-91.372223,0.833333,0.055556,0.991390,0.545435,274.503357
19.000000,0.000000,-91.210526,0.842105,0.052632,0.990660,0.669053,294.508179
20.000000,0.000000,-91.532501,0.800000,0.050000,0.990420,0.669053,296.406006
21.000000,0.000000,-91.380951,0.809524,0.047619,0.990260,0.669053,282.580566
22.000000,0.000000,-91.393181,0.818182,0.045455,0.989070,0.516047,279.203278
23.000000,0.000000,-91.358696,0.826087,0.043478,0.988810,0.516047,262.378357
24.000000,0.000000,-91.727081,0.791667,0.041667,0.988390,0.489563,248.923325
25.000000,0.000000,-91.681999,0.800000,0.040000,0.987980,0.489563,265.143890
26.000000,0.038462,-84.365387,0.769231,0.038462,0.987510,0.489563,285.322113
27.000000,0.074074,-77.651855,0.740741,0.037037,0.987050,0.489563,310.115814
28.000000,0.071429,-78.087509,0.750000,0.035714,0.987040,0.489563,308.111176
29.000000,0.068966,-78.970695,0.724138,0.034483,0.986370,0.636976,295.763672
30.000000,0.066667,-79.333344,0.733333,0.033333,0.986160,0.636976,295.525452
31.000000,0.064516,-79.564522,0.741935,0.032258,0.985310,0.596977,273.344116
32.000000,0.062500,-79.884384,0.750000,0.031250,0.985180,0.596977,263.914764
33.000000,0.060606,-80.210609,0.757576,0.030303,0.985090,0.428449,262.355286
34.000000,0.058824,-80.532356,0.764706,0.029412,0.984950,0.428449,272.690704
35.000000,0.057143,-80.824287,0.771429,0.028571,0.984750,0.428449,289.211090
36.000000,0.055556,-81.037506,0.777778,0.027778,0.984600,0.428449,307.657776
37.000000,0.054054,-81.300003,0.783784,0.027027,0.984350,0.428449,311.164978
38.000000,0.052632,-81.459213,0.789474,0.026316,0.983640,0.430201,329.807587
39.000000,0.051282,-81.941032,0.769231,0.025641,0.983590,0.430201,334.446930
40.000000,0.050000,-82.008751,0.775000,0.025000,0.982700,0.464512,315.230072
41.000000,0.048780,-82.170731,0.780488,0.024390,0.982560,0.208400,300.359741
42.000000,0.047619,-82.371429,0.785714,0.023810,0.982300,0.208400,300.688293
43.000000,0.046512,-82.553490,0.790698,0.023256,0.981680,0.260454,313.108368
44.000000,0.045455,-82.744316,0.795455,0.022727,0.981560,0.246087,316.117676
45.000000,0.044444,-82.891113,0.800000,0.022222,0.981350,0.022060,294.435669
