Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-98.900002,1.000000,0.000000,0.998880,0.000000,0.000000
2.000000,0.000000,-100.599998,1.000000,0.000000,0.998750,0.000000,0.000000
3.000000,0.000000,-100.933327,1.000000,0.000000,0.998040,0.000000,0.000000
4.000000,0.000000,-100.574997,1.000000,0.000000,0.997840,0.000000,288.908844
5.000000,0.000000,-100.599998,1.000000,0.000000,0.997160,-2.593551,301.570740
6.000000,0.000000,-100.233337,1.000000,0.000000,0.996880,-2.593551,296.993591
7.000000,0.000000,-100.471436,1.000000,0.000000,0.996620,-2.435026,283.018768
8.000000,0.000000,-100.500008,1.000000,0.000000,0.996420,-2.435026,265.601044
9.000000,0.111111,-77.888893,0.888889,0.000000,0.995940,-2.435026,304.234558
10.000000,0.100000,-80.470009,0.900000,0.000000,0.995680,-2.435026,320.696686
11.000000,0.090909,-82.609100,0.909091,0.000000,0.995390,-2.435026,334.626648
12.000000,0.083333,-84.250008,0.916667,0.000000,0.995230,-2.435026,326.155579
13.000000,0.076923,-85.438469,0.923077,0.000000,0.995020,-3.079615,332.674744
14.000000,0.071429,-86.685722,0.928571,0.000000,0.994800,-3.079615,346.604919
15.000000,0.066667,-87.866676,0.933333,0.000000,0.993500,-3.079615,300.359833
16.000000,0.062500,-88.912506,0.937500,0.000000,0.993240,-3.079615,272.897705
17.000000,0.058824,-89.952942,0.941176,0.000000,0.992130,-1.583641,252.380493
18.000000,0.055556,-90.688889,0.944444,0.000000,0.991940,-1.583641,242.349335
19.000000,0.052632,-91.336845,0.947368,0.000000,0.991670,-5.143469,226.641998
20.000000,0.100000,-81.654999,0.900000,0.000000,0.991140,-5.143469,262.526947
21.000000,0.095238,-82.647621,0.904762,0.000000,0.990970,-5.143469,273.853729
22.000000,0.090909,-83.409088,0.909091,0.000000,0.990580,-5.143469,290.920929
23.000000,0.086957,-84.169563,0.913043,0.000000,0.990220,-5.143469,311.386749
24.000000,0.083333,-84.958336,0.916667,0.000000,0.989750,-5.143469,296.789459
25.000000,0.080000,-85.599998,0.920000,0.000000,0.989610,-4.147555,298.714050
