Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-101.799995,1.000000,0.000000,0.999920,0.000000,0.000000
2.000000,0.000000,-100.250000,1.000000,0.000000,0.999790,0.000000,0.000000
3.000000,0.000000,-102.266663,1.000000,0.000000,0.999070,0.000000,0.000000
4.000000,0.000000,-101.899994,1.000000,0.000000,0.998760,0.000000,0.000000
5.000000,0.000000,-101.999992,1.000000,0.000000,0.998640,0.000000,0.000000
6.000000,0.000000,-101.549995,1.000000,0.000000,0.998540,0.000000,0.000000
7.000000,0.000000,-101.714287,1.000000,0.000000,0.998330,0.000000,0.000000
8.000000,0.000000,-101.287498,1.000000,0.000000,0.997950,nan,0.000000
9.000000,0.000000,-101.133331,1.000000,0.000000,0.997760,nan,0.000000
10.000000,0.000000,-101.570000,1.000000,0.000000,0.997200,nan,0.000000
11.000000,0.000000,-101.454544,1.000000,0.000000,0.997050,nan,nan
12.000000,0.000000,-101.700005,1.000000,0.000000,0.996710,nan,nan
13.000000,0.000000,-101.500000,1.000000,0.000000,0.996620,nan,nan
14.000000,0.000000,-101.485718,1.000000,0.000000,0.996420,nan,nan
15.000000,0.000000,-101.480003,1.000000,0.000000,0.996200,nan,nan
